variant,rain100h,rain100l,test100,test1200,test2800,params_m,gmacs,latency_pytorch_ms,latency_ort_ms,size_mb,peak_mem_mb
structpruned30_fp32,30.5982474899292,37.448301467895504,30.68142612612977,33.53503348191579,33.76326868942806,20.127905,12.155171328,11.179270584252663,nan,80.759523,157.100032
structpruned30_fp16,30.600914783477783,37.44794532775879,nan,nan,nan,20.127905,12.155171328,12.564164191717282,nan,40.506553,78.598656
structpruned30_onnx_fp32,31.94912166595459,nan,nan,nan,nan,20.127905,12.155171328,11.179270584252663,9.022230166592635,81.189323,nan
