variant,dataset,psnr,ssim,lpips,model_size_mb,latency_ms,device
fp32,Rain100H,31.47901481628418,0.9083546441793442,0.20336525455117227,104.700429,100.60905106947757,cuda
fp32,Rain100L,39.14714569091797,0.9794501441717148,0.08592414006590843,104.700429,100.60905106947757,cuda
fp32,Test100,32.06977235054483,0.9261428354954233,0.16429857658792515,104.700429,100.60905106947757,cuda
fp32,Test1200,33.21186041037242,0.92873294343551,0.16050480077508836,104.700429,100.60905106947757,cuda
fp32,Test2800,34.25049721309117,0.9466743327464376,0.10582040344497987,104.700429,100.60905106947757,cuda
fp16,Rain100H,31.477094287872315,0.9083277034759522,0.20328553684055806,52.446735,47.49087302858243,cuda
fp16,Rain100L,39.14662370681763,0.9794445633888245,0.0858972056210041,52.446735,47.49087302858243,cuda
fp16,Test100,32.069721338700276,0.9261419529817543,0.16427879727312497,52.446735,47.49087302858243,cuda
dynamic_int8,Rain100H,31.478773860931398,0.9083557486534118,0.20338891491293906,104.698479,10255.342817402561,cpu
dynamic_int8,Rain100L,39.14682683944702,0.9794503837823868,0.08592927355319262,104.698479,10255.342817402561,cpu
dynamic_int8,Test100,32.0689264998144,0.9261397524755828,0.16430577301249213,104.698479,10255.342817402561,cpu
static_int8,Rain100H,29.46874185562134,0.8633830201625824,0.24084130346775054,29.407461,15109.597280202433,cpu
static_int8,Rain100L,36.606268424987796,0.9611803954839706,0.10907169200479984,29.407461,15109.597280202433,cpu
static_int8,Test100,31.0043688015062,0.8954870238596079,0.22877709385083647,29.407461,15109.597280202433,cpu
