model,prune_ratio,stage,dataset,psnr,ssim,lpips,total_params_M,nonzero_params_M,sparsity_pct,model_size_mb,gmacs,latency_ms
nafnet_w32,0.3,prune_only,Rain100H,12.377194232940674,0.36304095402359965,0.6301875364780426,29.159715,20.448683,29.87351556762472,116.881907,16.064958464,11.271902084350586
nafnet_w32,0.3,prune_only,Rain100L,19.407178678512572,0.5153112863004208,0.582754997909069,29.159715,20.448683,29.87351556762472,116.881907,16.064958464,11.271902084350586
nafnet_w32,0.3,prune_ft,Rain100H,28.91919027328491,0.8623308455944061,0.2655757638067007,29.159715,29.159715,0.0,116.888671,16.064958464,11.19676399230957
nafnet_w32,0.3,prune_ft,Rain100L,34.59624036788941,0.9543273514509201,0.13667293231934308,29.159715,29.159715,0.0,116.888671,16.064958464,11.19676399230957
nafnet_w32,0.5,prune_only,Rain100H,12.734503164291382,0.38969467744231223,0.6117253708839416,29.159715,14.654707,49.743311963097035,116.881907,16.064958464,11.28040885925293
nafnet_w32,0.5,prune_only,Rain100L,22.828355388641356,0.6671736878156662,0.4895104447007179,29.159715,14.654707,49.743311963097035,116.881907,16.064958464,11.28040885925293
nafnet_w32,0.5,prune_ft,Rain100H,27.049711322784425,0.821673184633255,0.32512409254908564,29.159715,29.159715,0.0,116.888671,16.064958464,11.080718040466309
nafnet_w32,0.5,prune_ft,Rain100L,32.343546028137204,0.9387676471471786,0.16618478879332543,29.159715,29.159715,0.0,116.888671,16.064958464,11.080718040466309
nafnet_w32,0.7,prune_only,Rain100H,13.071312036514282,0.4082904286682606,0.6199573281407357,29.159715,8.860731,69.61310835856935,116.881907,16.064958464,11.30877685546875
nafnet_w32,0.7,prune_only,Rain100L,23.937421283721925,0.7469117069244384,0.4771824261546135,29.159715,8.860731,69.61310835856935,116.881907,16.064958464,11.30877685546875
nafnet_w32,0.7,prune_ft,Rain100H,26.125614643096924,0.7954480600357056,0.3586006073653698,29.159715,29.159715,0.0,116.888671,16.064958464,10.980846405029297
nafnet_w32,0.7,prune_ft,Rain100L,29.561198959350588,0.9089521813392639,0.21002130918204784,29.159715,29.159715,0.0,116.888671,16.064958464,10.980846405029297
