model,dataset,psnr,ssim,lpips,num_images,params_M,gmacs,mean_ms,std_ms,peak_mem_GB,model_size_MB
drsformer,Rain100H,33.8667798614502,0.940353199839592,0.11939468659460545,100,33.655424,242.989216768,109.23600769042969,0.21935266256332397,1.130634752,134.971977
drsformer,Rain100L,40.49843254089355,0.9861971533298493,0.03451173333451152,100,33.655424,242.989216768,109.23600769042969,0.21935266256332397,1.130634752,134.971977
drsformer,Test100,24.025937819967464,0.8379411405446578,0.25099959680620504,98,33.655424,242.989216768,109.23600769042969,0.21935266256332397,1.130634752,134.971977
drsformer,Test1200,30.00843449115753,0.8838864372670651,0.2175797784049064,1200,33.655424,242.989216768,109.23600769042969,0.21935266256332397,1.130634752,134.971977
drsformer,Test2800,30.150662029130118,0.9029414919444493,0.16727141964116266,2800,33.655424,242.989216768,109.23600769042969,0.21935266256332397,1.130634752,134.971977
