variant,dataset,psnr,ssim,lpips,model_size_mb,latency_ms,device
fp16,Rain100H,30.430127544403078,0.8936790227890015,0.21358981929719448,58.560473,12.372909550031181,cuda
fp16,Rain100L,37.324563846588134,0.9720574122667313,0.09781456373631954,58.560473,12.372909550031181,cuda
static_int8,Rain100H,29.604550952911378,0.8649673181772232,0.23985982984304427,31.914151,201.57630939938826,cpu
static_int8,Rain100L,35.48565942764282,0.9526840257644653,0.12233160965144635,31.914151,201.57630939938826,cpu
