variant,dataset,psnr,ssim,lpips,model_size_mb,latency_ms,device
fp32,Rain100H,30.22969778060913,0.8914917820692062,0.217317311540246,116.866597,11.549799949279986,cuda
fp32,Rain100L,36.93532499313355,0.970092567205429,0.10123860578984022,116.866597,11.549799949279986,cuda
fp32,Test100,30.76195023984325,0.9144809477183283,0.17723461825932776,116.866597,11.549799949279986,cuda
fp32,Test1200,33.44761312643687,0.9307876754303773,0.1583783587285628,116.866597,11.549799949279986,cuda
fp32,Test2800,33.616898157937186,0.9406810340285301,0.11650718380164887,116.866597,11.549799949279986,cuda
fp16,Rain100H,30.227894229888918,0.891485549211502,0.21729623705148696,58.558463,12.967950871097855,cuda
fp16,Rain100L,36.93282913208008,0.9700770974159241,0.10129293460398912,58.558463,12.967950871097855,cuda
fp16,Test100,30.760874884469168,0.9144641525891363,0.17725454430494988,58.558463,12.967950871097855,cuda
dynamic_int8,Rain100H,30.229662322998045,0.8914908289909362,0.2173212003707886,116.874031,315.56148719391786,cpu
dynamic_int8,Rain100L,36.934884300231936,0.9700911313295364,0.10125948205590247,116.874031,315.56148719391786,cpu
dynamic_int8,Test100,30.762027370686432,0.9144822796996759,0.17723374707358225,116.874031,315.56148719391786,cpu
static_int8,Rain100H,29.283979530334474,0.8595770138502121,0.2487059138715267,31.906153,147.75746960076503,cpu
static_int8,Rain100L,34.974215507507324,0.9498183727264404,0.12880159553140402,31.906153,147.75746960076503,cpu
static_int8,Test100,29.95647379816795,0.8892172702721187,0.2329286149113762,31.906153,147.75746960076503,cpu
